id,title,openings,location,start_date,end_date,acc_provided,acc_covered
"1333257","Scale Up! [4 weeks]",0,"","","","",""
"1333250","Scale Up! [4 weeks]",5,"Tunis, Tunisie","2026-06-01","2026-06-29","provided","covered"
"1333249","Heartbeat [4 weeks]",4,"Tunis, Tunisie","2026-06-01","2026-06-29","provided","covered"
"1332285","Scale Up! [4 weeks]",8,"Ariana, Tunisie","2026-06-01","2026-06-29","provided","covered"
"1329867","Scale Up! [4 weeks]",2,"Denden, Tunisie","2026-06-01","2026-06-29","provided","covered"
"1329866","Youth 4 Impact",2,"Denden, Tunisie","2026-06-01","2026-06-29","provided","covered"
"1329865","Raise Your Voice [4 weeks]",2,"Denden, Tunisie","2026-06-01","2026-06-29","provided","covered"
"1329864","Scale Up! [4 weeks]",19,"Tunis, Tunisie","2026-06-01","2026-06-29","provided","covered"
"1329863","On the Map [4 week]",5,"Tunis, Tunisie","2026-07-29","2026-08-26","provided","covered"
"1329861","Scale Up! [4 weeks]",3,"La Goulette, Tunisie","2026-06-01","2026-06-29","provided","covered"
"1329859","Fingerprint [4 weeks]",6,"La Goulette, Tunisie","2026-06-01","2026-06-29","provided","covered"
"1329076","Scale Up! [6 weeks]",3,"Ariana, Tunisie","","","provided","covered"
"1329075","Scale Up! [6 weeks]",2,"Denden, Tunisie","2026-06-01","2026-06-29","provided","covered"
"1329074","Scale Up! [6 weeks]",25,"La Medina, Tunis, Tunisie","2026-06-01","2026-07-13","provided","covered"
"1329073","Youth 4 Impact [6 weeks]",1,"Denden, Tunisie","2026-06-01","2026-07-13","provided","covered"
"1329072","On the Map [6 weeks]",25,"La Medina, Tunis, Tunisie","2026-06-01","2026-07-13","provided","covered"
"1329071","Skill Up! [6 weeks]",1,"Ariana, Tunisie","2026-05-01","2026-06-12","provided","covered"
"1329070","Global Classroom [6 weeks]",3,"Ariana, Tunisie","2026-05-01","2026-06-12","provided","covered"
"1329069","On the Map [6 weeks]",4,"La Medina, Tunis, Tunisie","2026-07-01","2026-07-29","provided","covered"
"1329068","Skill Up! [6 weeks]",0,"Ariana, Tunisie","","","provided","covered"
"1329067","Fingerprint [6 weeks]",7,"Ariana, Tunisie","2026-06-01","2026-07-13","provided","covered"
"1329039","Scale Up! [6 weeks]",1,"Ariana, Tunisia","2026-06-01","2026-07-13","provided","covered"
"1329038","Green Leaders [6 weeks]",2,"Ariana, Tunisia","2026-06-01","2026-06-29","provided","covered"
"1329037","On the Map [8 weeks]",0,"Ariana, Tunisia","","","provided","covered"
"1329036","Global Classroom [6 weeks]",3,"Ariana, Tunisia","2026-06-01","2026-07-13","provided","covered"
